date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-11-18,3014,23423,774790029.82908,0.00578119270208309,0.00004479349710584678899234724539,0.00000116222117340181,46.2474492284054,779.88632258,405.24064993441,0.0000103537837521917,0.0077481411560121,84.8091725783003,-10.888225782058,99996891412.837579,1032459,34446,128219829.6306,993465.338977712,3729.2793250479,28.8949826206687,500,3.87407057800605,128458755.6306,995316.571351553,0.0469316517914628,0.0199235443530876,0.0335711220059879
2016-11-19,2382,23363,759012626.695605,0.0104590364541377,0.0000793878823537338694468291397,0.00000113855443618318,68.7884886291578,1258.83830581,396.490550686164,0.0000101124877264757,0.00759036290788787,80.1726342677065,-17.496995844747,99996882350.228918,866486,11658,79435843.260194,602946.878238971,6938.2221015778,52.663623686504,340,2.58072338868188,80885793.260194,613952.524937263,0.0469411235814188,0.0197125504320499,0.0336954631951779
2016-11-20,2045,23528,755841784.352726,0.00758902865233214,0.00005736284203354571221019099762,0.00000113379810502991,53.7645283156234,1228.07977219,394.060401288901,0.0000103479947399182,0.00755865403353272,76.3087755780127,-15.5869572297522,99996875237.252444,937271,12244,81425390.68053,615466.357699366,6661.92344662937,50.3551745309513,400,3.02346161341309,81568590.68053,616548.756956968,0.0468996059447979,0.0193625471947789,0.0336930489141635
2016-11-21,2396,23487,744155999.661726,0.00415616321670743,0.00003092930571688538039227417678,0.00000111626892776559,31.6782588548198,883.58823201,386.809291474741,0.0000101139777907656,0.00744179285177063,74.9944422964926,-14.7929433867933,99996870980.447735,1024215,32233,113171347.645315,842197.725932154,3519.75471241631,26.1932854588457,420,3.12555299774366,113452253.645315,844288.170194974,0.0469033541732401,0.018842017432851,0.0320756838261708
2016-11-22,2350,23611,730843621.202716,0.00712431292555019,0.00005206921941187787997171675739,0.00000109629981071873,50.3194853627611,281.23348218,375.46887139991,0.00000977535330216248,0.00730866540479154,71.7072483130864,-17.9763666454571,99996864095.540221,966396,35137,355565288.028012,2598707.71975507,10207.4789546066,74.603048305671,400,2.92346616191662,358660188.028012,2621327.30831636,0.0467986286563554,0.0188995609628872,0.0321530985299467
2016-11-23,2513,23582,702844518.536057,0.0113006970083435,0.00007942882937796805134890253594,0.00000105429996025012,80.4043742603884,529.27141891,365.342613704153,0.00000948006487434249,0.00702866640166747,64.096493787715,-19.9182953995971,99996852656.048052,1012282,42484,188933029.599837,1327947.23731362,4471.59002447597,31.4293145670657,420,2.95203988870034,189971030.599837,1335243.00006722,0.0468708847388957,0.0198519597000194,0.0307562185367456
2016-11-24,2470,23588,677922462.601237,0.00896992634230618,0.00006081106475927751742339752103,0.00000101691578791119,58.7811914176128,798.79463835,355.722049523166,0.0000091942910578609,0.0067794385860746,57.2230964794078,-22.326879115642,99996843985.537851,966620,33540,125184670.983994,848681.788853942,3737.96413756691,25.3412983075841,400,2.71177543442984,125371317.173994,849947.145236372,0.0467625129878465,0.0205520923402148,0.0307114860285453
2016-11-25,2151,23327,682421173.63856,0.0082229407713718,0.0000561168643212619164843833978,0.00000102366414671196,52.8437359759957,896.80854937,358.284857693197,0.0000092268959672706,0.00682442764474639,59.8664293878979,-21.2086997322531,99996836242.216546,941673,32701,111502991.705833,760944.099069214,3420.06671679254,23.3399978489561,400,2.72977105789856,111839601.705833,763241.269658712,0.0467611059850918,0.0195414433489839,0.0289650871948498
2016-11-26,1489,23680,696565992.613793,0.00354958768815388,0.00002472600358722131332500408958,0.00000104488207192655,16.9786543352444,2584.34077581,366.089816925598,0.00000948022033898305,0.00696588047951033,66.3254616692332,-15.9476141837086,99996833804.814069,686672,10657,38693362.245725,269533.336754118,3648.45844662898,25.4147254736774,400,2.78635219180413,38881621.665725,270844.72937298,0.0467750570342082,0.0184745792435161,0.0254860124325928
2016-11-27,1353,23494,691332729.25878,0.00655133923023055,0.00004529298854997200622983980071,0.00000103703197830846,33.3091431744777,2626.56222121,365.236022409381,0.00000948198801870251,0.00691354652205639,61.8181479448783,-12.46873626053,99996828986.860929,735415,9495,38071372.602275,263208.205644371,4021.66641414165,27.80397785036,500,3.4567732610282,38185722.602275,263998.769689168,0.0467457488198698,0.0179493394537565,0.0252271541296986
2016-11-28,2066,23838,675086460.163062,0.00576440963133578,0.00003891598476518733353320545474,0.00000101266184884668,31.3078708276084,919.77026825,356.939037330476,0.00000924737697253068,0.0067510789923112,57.1856635167997,-12.1508712466054,99996824349.399145,804499,31663,108719348.517331,733972.909833113,3438.88761384995,23.2162019267816,500,3.3755394961556,108885498.517331,735094.601607686,0.0467812458679902,0.0154846084926603,0.0250721074149101
2016-11-29,2178,23857,669755901.914373,0.00600511747183609,0.00004022090793440806122214000479,0.00000100466580686498,32.8784605282581,1889.2204358,355.342902032354,0.00000915311396843951,0.00669777204576655,59.3359663095633,-16.8262931285415,99996819440.533883,817447,15901,52930202.079915,354514.427867629,3354.77089993805,22.4694907535562,470,3.14795286151028,53344212.079915,357287.372472297,0.0467810318657534,0.0154493216054249,0.0235851377341989
