date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2013-01-01,0,4164,,,,,,,,,,,,99999999999.99632,0,0,0,,,,,,0,,,,
2013-01-02,10,4703,,0.00001,,,,9940.35785288,,,,,,99999999999.99614,18,3,10060000,,3353333.33333333,,50000,,10060000,,,,
2013-01-03,8,4780,,0.00001,,,,2421307.50605317,,,,,,99999999999.99604,10,6,41300,,6883.33333333333,,10000,,41300,,,,
2013-01-04,9,4024,,0.00001,,,,142628.3011564,,,,,,99999999999.99585,19,6,701123.123456,,116853.853909333,,10000,,701123.123456,,,,
2013-01-05,12,3201,,0.00001,,,,9344047.84152454,,,,,,99999999999.9956,25,5,10702,,2140.4,,200,,10702,,,,
2013-01-06,9,4360,,0.00001,,,,9174311.92660507,,,,,,99999999999.99521,39,6,10900,,1825,,300,,10950,,,,
2013-01-07,9,2819,,0.00001,,,,8695652.17391261,,,,,,99999999999.99504,17,3,11500,,3833.33333333333,,1000,,11500,,,,
2013-01-08,16,3327,,0.00001,,,,552950.5441033,,,,,,99999999999.99411,93,15,180848,,12056.5333333333,,200,,180848,,,,
2013-01-09,21,4324,,0.00001,,,,104056.973274,,,,,,99999999999.99362,49,14,961012,,68643.7142857143,,10000,,961012,,,,
2013-01-10,24,4447,,0.00001,,,,139684.31345159,,,,,,99999999999.99271,91,23,715900,,31126.0869565217,,10000,,715900,,,,
2013-01-11,14,4428,,0.00001,,,,3447562.57326045,,,,,,99999999999.9925,21,5,29006,,5801.2,,9000,,29006,,,,
2013-01-12,7,4472,,0.00001,,,,9089256.49881769,,,,,,99999999999.99218,32,6,11002,,1833.66666666667,,200,,11002,,,,
2013-01-13,6,4496,,0.00001,,,,22727272.72727089,,,,,,99999999999.99192,26,10,4400,,520,,200,,5200,,,,
2013-01-14,11,4330,,0.00001,,,,1424501.42450131,,,,,,99999999999.99176,16,4,70200,,17550,,10000,,70200,,,,
2013-01-15,22,4592,,0.00001,,,,3016500.25640225,,,,,,99999999999.99096,80,15,33151,,2210.06666666667,,100,,33151,,,,
2013-01-16,23,4589,,0.00001,,,,4645086.80111082,,,,,,99999999999.99033,63,20,21528.123,,1076.40615,,21.5,,21528.123,,,,
2013-01-17,19,4489,,0.00001,,,,1105703.94705244,,,,,,99999999999.98913,120,28,90440.12212,,3230.00436142857,,40,,90440.12212,,,,
2013-01-18,21,5007,,0.00001,,,,1694628.0291474,,,,,,99999999999.98824,89,13,59010,,4539.23076923077,,1000,,59010,,,,
2013-01-19,14,4643,,0.00001,,,,1960784.31372525,,,,,,99999999999.98791,33,6,51000,,8500,,10000,,51000,,,,
2013-01-20,6,4475,,0.00001,,,,98039215.68626247,,,,,,99999999999.98772,19,3,1020,,340,,10,,1020,,,,
2013-01-21,12,4626,,0.00001,,,,4761678.015332,,,,,,99999999999.98735,37,4,21001,,5250.25,,5500,,21001,,,,
2013-01-22,27,4251,,0.00001,,,,169198.15303294,,,,,,99999999999.98681,54,17,591023,,34766.0588235294,,10000,,591023,,,,
2013-01-23,30,4529,,0.00001,,,,990707.1667755,,,,,,99999999999.98558,123,12,100938,,8411.5,,5250,,100938,,,,
2013-01-24,19,4805,,0.00001,,,,1652619.40175153,,,,,,99999999999.98512,46,9,60510,,6723.33333333333,,10000,,60510,,,,
2013-01-25,19,4080,,0.00001,,,,2226576.41610226,,,,,,99999999999.98468,44,13,44912,,3454.76923076923,,1000,,44912,,,,
2013-01-26,36,4303,,0.00001,,,,1.16536424,,,,,,99999999999.98422,46,29,85810081001.4142,,2958968310.39359,,1000000000,,85810081001.41421,,,,
2013-01-27,16,4220,,0.00001,,,,3310929.37787584,,,,,,99999999999.98392,30,8,30203,,3775.375,,100,,30203,,,,
2013-01-28,14,4250,,0.00001,,,,7062146.8926542,,,,,,99999999999.98352,40,8,14160,,1770,,375,,14160,,,,
2013-01-29,12,4361,,0.00001,,,,7137249.30411696,,,,,,99999999999.98276,76,5,14011,,2802.2,,2000,,14011,,,,
