date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-04-18,18,165864,4393534538.30302,0.000625,0.0137297954321969375,0.0137297954321969,0.137297954321969,0,1879610.92053945,,0.00416172453440933,21.9676726915151,,,200000000,10,10,106.405,2337.47021274066,10.639875,233.733291478634,1,21.9676726915151,106.39875,2337.33291478634,,,
2019-04-19,29,218479,4865168460.76078,0.000625,0.0152036514398774375,0.0152036514398774,0.425702240316568,0,20133748.49122722,,0.00459850030675502,24.3258423038039,,,200000000,28,28,9.93357,241.642457333797,0.354145357142857,8.61488411048145,0.1,2.43258423038039,9.91607,241.216755093481,,,
2019-04-20,9,219207,4986854146.27792,0.000625,0.0155839192071185,0.0155839192071185,0.10908743444983,0,95234.25979166,,0.00469220854178843,24.9342707313896,,,200000000,7,7,2100.084575,52364.0773518653,300.011457142857,7480.56689491869,0.01,0.249342707313896,2100.0802,52363.9682644308,,,
2019-04-21,12,219685,4839555146.92434,0.000625,0.0151236098341385625,0.0151236098341386,0.181483318009663,0,3072197092.50339363,,0.00456929606354111,24.1977757346217,,,200000000,12,12,0.06509999,1.57527495834612,0.00479999916666667,0.116149303361371,0.00375,0.0907416590048314,0.05759999,1.39379164033645,,,
2019-04-22,36,219413,4776442486.72908,0.000625,0.014926382771028375,0.0149263827710284,0.880656583490674,0,399.99278402,,0.00443593977173246,23.8822124336454,,,200000000,59,59,500009.02013182,11941321.637527,8474.7451929122,202395.665018144,0.0091,0.217328133146173,500009.96638182,11941344.2360705,,,
2019-04-23,289,221448,4559480128.34512,3.11139226100154,70.93165592761657352256985742,0.0142483754010785,46743.961256299,0,538.82038492,,0.00411144546337383,22.7974006417256,,,200000000,692,635,371181.20545516,8461966.65143995,581.315656249386,13252.4859148249,1,22.7974006417256,369135.44171836,8415328.5559138,,,
2019-04-24,390,219518,4612294509.7463,0.000624999999999989,0.01441342034295693382380196395,0.0144134203429572,15.1773316211339,0,1016.9629082,,0.00424552534190532,23.0614725487315,,,200000000,1053,1034,196664.00651149,4535361.58748828,198.508810961896,4577.90549467909,8.914062,205.571396110691,205258.1105346,4733554.28149817,,,
2019-04-25,487,221595,4384902823.78848,0.461836107814429,10.12553226641485308261293989,0.00219245141189424,96729.2097410339,0,40.02877756,,0.0042757237841102,21.9245141189424,,,200000000,17740,1601,4996405.39121284,109543760.543606,3127.04064865043,68558.8468518432,14.99,328.648466642947,5006392.07848934,109762713.809801,,,
2019-04-26,460,219697,4476001556.75554,0.00185800359823399,0.04158213499076367065349074402,0.00223800077837777,263.713900111424,0,179.57357833,,0.00434549364114553,22.3800077837777,,,200000000,10883,1982,1113749.59422517,24925724.5879386,674.572410778431,15096.935803943,32.819982195,734.511456987546,1337002.51816285,29922126.763415,,,
2019-04-27,715,219569,4382876227.44826,0.000416041635044654,0.00911729495932959461682787301,0.0136964882107758,32.6763851342364,0,762.3706573,,0.00422909959936796,21.9143811372413,,,200000000,5034,2124,262339.58257053,5749009.59983538,144.161354093974,3159.20685887614,11.25614917,246.671543049022,306198.7160956,6710155.36825292,,,
