date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-01-02,266633,5931,107506091,18126.1323554207,16085342149.3925,2424370581382830,0.000587384711588163,0.0907076880934278,0.0411174105277048,53513.8169599071,19119.65625,6.69983489825957,2952579.08720399,2952579.08720399,41.70494246,45.7724144255003,0.0396148140941597,154.426368790181,-82.1248875719898,43.7378848404232,104161888.12448,589959,311698,2497590.98056855,385693905.852309,9.78386795404299,1510.88720086548,0.15,23.1639553185271,3049612.073539292644892066,470940518.735367,0.0555003323080085,0.0745751423451041,0.0698226633614361
2019-01-03,298379,5580,107932770,19342.7903225806,15320901932.8811,2591199568574010,0.0005498346995286,0.0808598383029708,0.0328630821627422,48242.5967283281,17933.25,6.28301734792898,2637301.16795098,2637301.16795098,46.02906608,43.5822797412846,0.0388601967150674,147.06208679135,-84.4155800555639,35.6748001124768,104179821.37448,596620,303833,2263348.58068837,332852765.412272,9.00938953202024,1324.93962529504,0.13268987,19.5136491782729,2737349.849682306394080203,402560381.172268,0.0555744948319381,0.073869420048254,0.0700521910675991
2019-01-04,264923,5554,104815780,18872.1245948866,15988335594.3549,2592140443986810,0.000655853218237306,0.100635676751416,0.0472453068200224,55289.0395358972,17831.90625,6.24644181161582,2736170.08095133,2736170.08095133,28.8108417,45.0053782587109,0.0400891942529804,153.442376972531,-83.8881036465809,51.7238183082538,104197653.28073,549398,300816,3616612.60625773,554941634.893006,13.8075970791619,2118.67051610558,0.15,23.0163565458796,4153546.122965168934090779,637329989.972816,0.0556673263907155,0.0702935912076695,0.0699934421223001
2019-01-05,257064,5620,97513081,17351.0820284698,16080661808.2194,2637334375701170,0.000967318706693483,0.149258975893437,0.0324095410124138,76299.5466280313,18022.125,6.31198291369354,2780845.54998261,2780845.54998261,25.66702385,44.6687180403714,0.0406205417806,154.301756867329,-83.9026343237363,69.9118762320363,104215675.40573,511189,289351,4060294.4863319,626510572.639741,15.5894649927916,2405.48183700946,0.140496034381093,21.6787849378953,4510827.285129228420733088,696028575.020524,0.0553556546017212,0.0703291342089593,0.0700095666676343
2019-01-06,266956,5585,88550926,15855.1344673232,16254198815.5134,2696379667584040,0.000614970287490305,0.0958986407709834,0.0344793322500859,46738.3123498164,17807.34375,6.23569346173692,2776882.22684025,2776882.22684025,48.41806888,45.1545133714234,0.0385418989351513,155.940283167738,-84.5014038947124,69.2631257553739,104233482.74948,487372,286841,2152780.66983546,335705227.252174,9.45469731832863,1474.36817708542,0.131786367031288,20.5508033925065,2711994.833486703173052424,422909242.283359,0.055303913036099,0.0700325195508054,0.0699752228680835
2019-01-07,288553,5610,102124541,18204.0180035651,15673813423.3593,2701574064117130,0.000610541298662546,0.0917925225545651,0.0378872252121565,50574.3753967284,18041.625,6.3166396506064,2712488.53003283,2712488.53003283,45.64917299,43.4831025554099,0.0375769669969904,150.346131794272,-86.3679791298476,65.9465293362454,104251524.37448,550964,324553,2283754.94089593,343353721.329759,8.40228796438102,1263.25149366625,0.1410186859501,21.2016139433088,2726987.765703753086562087,409992062.023864,0.0552451656832208,0.0707590192776793,0.0700892969522118
2019-01-08,277503,5562,99648671,17915.9782452355,15541627570.9813,2668628294540000,0.000565606287622194,0.0843051797772892,0.0376709990367457,46651.7044177973,17777.90625,6.22324657335817,2649846.04179501,2649846.04179501,49.17000252,43.1185238522074,0.0373320422633336,149.052762711864,-86.8641150787463,60.2821356961593,104269302.28073,553367,327994,2120587.69437498,316079454.419373,7.85329452025268,1170.5552446336,0.123437471491557,18.3986961479835,2575833.482875756892484466,383935096.908354,0.0552178584819728,0.0700972568633175,0.0700532301718644
2019-01-09,279728,5610,100223591,17865.1677361854,15604497412.9711,2703895132196210,0.00053556330160408,0.0801362598180995,0.0342188518199649,44783.9083905417,18022.5,6.30777758834169,2696704.08380479,2696704.08380479,50.54345184,43.62721344973,0.0373676764895104,149.62985622443,-88.3864438243566,67.4862544533105,104287324.78073,558847,316707,2063320.1923194,308734303.721715,7.85213504518115,1174.91383786526,0.14,20.9481798714202,2486826.133754184874348539,372103436.848794,0.0552155803655368,0.0696760370109478,0.0700644944587103
2019-01-10,276872,5568,106629931,19150.4904813218,13239434977.7366,2674362619191120,0.000626607070492298,0.0795351125898657,0.0359845994101404,46356.16548673,17846.8125,6.24521916123553,2265292.41114774,2265292.41114774,36.03278403,37.0153264356921,0.0349870953469879,126.929803915839,-89.6953097816493,45.6585227076307,104305171.59323,582839,323254,2894729.74116301,367427478.435168,10.8418669050318,1376.15604033731,0.200164038909457,25.4067822097797,3504676.844519158880681456,444847944.663198,0.0563918730470722,0.0775327726907263,0.0730513720715683
2019-01-11,309317,5566,103992025,18683.439633489,13037301364.2164,2692032647716250,0.00061132578788265,0.0763977347506115,0.0314925847048509,41395.1958017845,17797.59375,6.22693331044564,2224175.51077143,2224175.51077143,27.83035316,36.1721191868717,0.03448261810251,124.970574225599,-88.9265838731006,40.6467341017189,104322969.18698,541838,319791,3748531.9931879,468456195.691721,13.1740649581583,1646.37046270639,0.12,14.9964689070719,4212947.40703440465363026,526494456.639338,0.05615671249538,0.0769828543258646,0.0730324507583483
2019-01-12,267659,5541,88199043,15917.5316729832,12972603284.9322,2624800536300680,0.000545842820360147,0.0678642615715624,0.0261091552337813,30722.626263263,17698.5,6.19121253793366,2200442.3043099,2200442.3043099,77.32287391,36.0354052199616,0.0343733900277746,124.329310637054,-90.1108628928455,46.1649923927912,104340667.68698,452707,268282,1349415.28173668,167771871.741427,6.16736214522935,766.783883965427,0.11,13.6762241700759,1654592.251046419659387668,205714313.958013,0.0560172357702231,0.0767483184434809,0.0708625554953534
2019-01-13,260303,5635,89019017,15797.5185448092,12036712893.339,2608139705984280,0.000552851642785469,0.0637658506410945,0.0253348693804173,30693.5009085243,17957.34375,6.28067921249437,2071198.14947828,2071198.14947828,40.71899158,33.8210373375895,0.0328728241266574,115.339895382817,-91.642911886126,38.7934102680219,104358625.03073,481347,289783,2562898.07242314,295604395.550108,10.0264651639084,1156.45144306465,0.100072982004914,11.5424072750933,2905499.154592861202572206,335119968.525604,0.0561856618912802,0.0784599382441187,0.0714130921269959
2019-01-14,296695,5629,103864746,18451.7225084384,13393983738.9845,2633341356905590,0.000879830259414855,0.112902972084578,0.0538959052250144,65171.9987031285,18008.90625,6.29762671329175,2310967.39156231,2310967.39156231,30.96570203,37.6565417922958,0.034994682791531,128.323583869082,-90.5777103022098,54.9236860350613,104376633.93698,577239,376071,3370717.50606898,432542550.589026,10.288239716364,1320.22379210806,0.10078923457681,12.9336357963179,3869108.598372736412724263,496497881.72187,0.0568238841765345,0.0804291716785307,0.0728542374071987
2019-01-15,277216,5619,101558942,18074.2021712048,12561783789.2023,2702083965916070,0.000782985417854695,0.0942165383153128,0.045579753766347,50867.1321702781,17920.40625,6.26560295448417,2156360.2636498,2156360.2636498,44.73379644,35.4018030638508,0.033599561827379,120.32987609585,-90.6118540070431,43.6167730453503,104394554.34323,539896,337141,2333684.20853768,280811931.660181,8.22756032508482,990.021314488587,0.12,14.439585131502,2773847.91555941982666718,333776775.987997,0.0569123109497839,0.079405550098203,0.0732558713652507
2019-01-16,259885,5528,99547503,18007.8695730825,12782231812.5345,2621048502732620,0.000851147834985552,0.104198295731953,0.0395494228309136,52900.1201652612,17603.8125,6.15387295502175,2155074.81249245,2155074.81249245,42.25200073,36.1766755122326,0.0339399416172753,122.420913793103,-88.4637765466042,30.4519242322365,104412158.15573,507687,294134,2471176.66249142,302523705.16639,9.73021364762579,1191.18164614447,0.109972829092136,13.462974229872,2861986.661030762828589106,350367022.307058,0.0568666867639234,0.0786503745215692,0.0732687057443503
2019-01-17,249911,5561,99542772,17900.1568063298,12808087809.386,2580831091838980,0.000637651105333754,0.0782064743790608,0.0364715165999438,40439.1601848555,17704.125,6.18789059362037,2171371.12542365,2171371.12542365,51.49076122,36.355263842738,0.0336932419719343,122.647751607247,-87.8881118792809,22.3080957348523,104429862.28073,517082,288731,2028128.14985663,248745357.551281,8.58943900868094,1053.4753819823,0.120864327711986,14.8237380433966,2480037.314415456158561155,304171000.515131,0.0568704031885984,0.0786324791071105,0.0697793272808267
2019-01-18,250566,5619,99743845,17751.1736963873,12479948049.7853,2571663396292580,0.000685945398539824,0.0819603172403333,0.0376378352936879,44168.3330004917,17792.71875,6.21779621934292,2125966.40552194,2125966.40552194,65.63140479,35.5219512344815,0.0331036477933891,119.485191408533,-88.2715865245055,19.5455559754506,104447654.99948,538899,294896,1591427.99602052,190152078.71741,6.45295707656117,771.032811443959,0.10412434029149,12.4413167300159,1902951.230049582006909762,227374491.963578,0.0568821326093741,0.0750436751813517,0.0671881500144726
2019-01-19,235309,5683,101514665,17862.8655639627,12900255069.5999,2637070458320860,0.000614233062231003,0.0758504070039218,0.028912305131424,40892.8506759516,18009.5625,6.29248886709558,2223964.69611371,2223964.69611371,80.68080767,36.9823596544989,0.0334900674083184,123.487991233197,-88.0101108300504,8.24306514174211,104465664.56198,539125,291727,1294801.91857583,159892487.969819,5.46853322517949,675.298182969411,0.102880627260276,12.7045219971828,1595318.792181937045578205,197002713.023117,0.0567189648432807,0.0744047784626712,0.066812894517932
2019-01-20,234174,5599,99838678,17831.5195570638,12278394345.7213,2673566313435730,0.000571233592663782,0.0671286480171733,0.0355388167376114,36095.4096820492,17764.21875,6.20571120168468,2087566.28301217,2087566.28301217,66.35347474,35.3298820305528,0.0332122137652676,117.515231735827,-89.7985426891495,9.00028019240951,104483428.78073,537705,259173,1574648.9416324,185045235.278506,7.16541166436262,842.045012220171,0.103895234102074,12.2092725117532,1857081.237287853311726566,218235331.952138,0.0568052452730163,0.0740804866896974,0.0663859299352567
2019-01-21,242165,5094,108792729,21357.0335689046,12113469245.2264,2840844087622220,0.000610153858079142,0.0707283293258096,0.0344686998258073,41217.0046428738,16141.125,5.63783241434848,1871060.53591647,1871060.53591647,63.40778047,35.0064303925391,0.0327859701636356,115.918843074226,-88.8477725526411,0.597522597876625,104499569.90573,582751,294678,1648055.95044589,191040739.097282,6.86110323080298,795.331148727516,0.129015397693142,14.9553156393502,2021816.177846560617030498,234366592.244727,0.0567998183862275,0.0705705903864107,0.0663078315576845
2019-01-22,221052,5072,115189315,22710.8270899054,12330309587.3124,2878752296506210,0.000803277198187607,0.0947672056185852,0.0325457258572427,57387.0394999603,16084.78125,5.61728783485425,1897613.64506292,1897613.64506292,62.15163275,35.7732808576974,0.0329789071051914,117.97571975453,-88.1077351007342,-9.03518602941888,104515654.68698,605558,275938,1681623.6365424,198390758.87732,7.50166263984727,885.01404929165,0.128241273991684,15.1293566014068,2069993.785514177278939319,244209006.733439,0.0568110681883501,0.0688911294108289,0.0653260503115001
2019-01-23,241743,4991,103362771,20709.8318974153,12158407880.8775,2752834586056830,0.000644924569445161,0.0750133930114232,0.0344194721547632,40043.5744439505,15758.34375,5.50245644059083,1832907.11647848,1832907.11647848,60.3248128,35.5068832283251,0.0327468788323453,116.313436586791,-88.1940794584178,-17.1394122943222,104531413.03073,533819,294763,1732809.57167928,201549036.232502,7.25853023204122,844.264595857832,0.136401612,15.8653402476981,2139546.146787167302857963,248857965.068842,0.0568125212111596,0.0668658857372681,0.0652586888495133
2019-01-24,232516,5086,100916704,19842.0574125049,12161629154.5013,2805104849380210,0.000682680388294165,0.0794137232331244,0.0358185141903735,41305.4598652252,16080.46875,5.61407155474195,1870582.36426318,1870582.36426318,50.05288474,35.6155273960126,0.0326064353659444,116.326357977791,-88.8908304869641,-9.06306541275603,104547493.49948,520130,286302,2088740.61982827,242975589.064896,9.14887128526205,1064.25487622213,0.164832763585743,19.1743950633437,2619340.14671309427605012,304698299.572147,0.0568132329654304,0.0667389389777447,0.0644750418316318
2019-01-25,242692,5106,93491404,18310.1065413239,12021398682.8619,2812524215135170,0.000643399549240194,0.0739699517527851,0.0323339509909494,37347.6505498158,16080.09375,5.61307730508744,1848686.03074467,1848686.03074467,59.8057924,35.1981767920317,0.0322819577905636,114.967366452367,-88.9838091222369,-11.7735778983798,104563573.59323,504903,294464,1748385.38865366,201007263.677309,7.38998518391843,849.607134717113,0.141483537836209,16.2659897413928,2176084.597197356647558438,250178715.31734,0.056801117570082,0.062016642571547,0.0644049063044431
2019-01-26,281294,5055,88065902,17421.5434223541,12030838854.2906,2749133557015790,0.000586547227853502,0.0674764165747244,0.0289900900888369,31334.6983289417,16004.53125,5.58584573681942,1841161.91574248,1841161.91574248,93.78199498,35.3026353664071,0.0323415094505187,115.040040035067,-88.9434349575493,0.808503796285612,104579578.12448,464380,267567,1115134.92699448,128285166.645946,5.23625069905377,602.378490052794,0.14045368,16.1577969702725,1401047.89079372126072806,161176605.447956,0.05669618629086,0.0527785736176028,0.0629501313639946
2019-01-27,253559,5013,91605507,18273.5900658288,11696077576.1625,2739500796180600,0.000552850263940524,0.0618208647040181,0.0239388702132554,30218.9041594147,15846.1875,5.52974327084166,1771953.59649388,1771953.59649388,62.21102315,34.5186432312459,0.0316094612715357,111.82207685564,-89.7670820591693,-17.3048757042113,104595424.31198,488814,291878,1681300.49983676,188006513.710172,6.98945150034414,781.57498285025,0.123917941351781,13.8567615616315,2040067.125017445517481479,228124542.844365,0.056692576527862,0.0523362384213064,0.0628743398510425
