date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-06-04,35459,558,5918393,10606.4390681004,2.01583914669234,1422653804.86178,705737760.4736558283455667479,257730.147550318,0.00337282500764916,0.093325060252385,0.0144159143392328,1098.06265892956,13950,9.90312616750297,385992.332115735,385992.332115735,45.81782795,59.6648115246641,0.0109583242775917,27.6697012269344,470.521598905382,5.86634675955174,51415582.45222139,11766,35413,1122174.15690665,31050223.646194,141.039219388442,3902.51306175824,0.44207304,12.2320289372826,4994621.87620289,138199695.056044,0.0763165297448948,0.091363370206932,0.0899726072965679
2017-06-05,44112,592,8587765,14506.3597972973,2.21014840984216,1573674074.71588,712021902.1075903769303859677,257730.147550318,0.00648670332613528,0.198481060571453,0.0138303595628979,3125.08429869752,14800,10.5035190143072,452852.481263028,452852.481263028,36.23347581,64.722820209054,0.0113946021217127,30.5981406258803,534.691336497712,7.77021281843151,51430382.45222139,15745,43567,1419416.19731075,43431496.4119666,220.020359013711,6732.21388565819,1,30.5981406258803,9585626.98115033,293302362.35647,0.0766065915325607,0.0932648225477572,0.0897294281861868
2017-06-06,42819,519,7757616,14947.2369942197,2.1629027046938,1548645893.85268,716003494.0507962376637997046,256174.359000813,0.0057584578944942,0.173352063607328,0.0136069646051297,2632.17773381366,12975,9.20599905322762,390598.154317605,390598.154317605,35.45723429,62.4999507521965,0.0104842639352512,30.1039039936497,505.921190886376,4.59931687730838,51443357.45222139,15184,42576,1450856.46099541,43676443.6103722,157.846389035444,4751.79254126729,0.997500005,30.0286443841851,6720467.85957307,202312319.236996,0.0766347214640539,0.0933189378394412,0.0896142322174021
2017-06-07,42584,475,7468637,15723.4463157895,2.05934547756647,1481883380.81646,719589499.1682504180303917569,252310.991461773,0.0056568609935104,0.162914593800655,0.0130173600663643,2435.08443353839,11875,8.42358452859905,341993.696433796,341993.696433796,36.47467686,58.7712806120638,0.0106398310449254,28.7994691733723,499.969908850703,0.574020234338865,51455232.45222139,14947,42654,1410711.12583915,40627731.5811379,368.245411574309,10605.2723788701,0.997,28.7130707658522,15707139.78529059,452357288.048326,0.0767394396862396,0.0890146185468529,0.0873922633927225
2017-06-08,40069,453,8566330,18910.2207505519,2.14384069033137,1552293186.71907,724071146.5734593482524346577,252310.991461773,0.00641014398786017,0.193337641583682,0.0136633256881116,2643.69891101527,11325,8.03167183629374,341575.601902526,341575.601902526,39.29761678,60.549108964395,0.0107620043389473,30.1612010509957,531.615768828027,-9.57545642716162,51466557.45222139,13674,41980,1309661.03462131,39500949.7738684,311.845265447778,9405.62774797156,0.96482981,29.100425879404,13091264.24349772,394848252.859846,0.0767743423985594,0.0894438612653362,0.0872928934602225
2017-06-09,38944,425,6866939,16157.5035294118,2.09077394835063,1523101507.50886,728486936.003006723545302091,252310.991461773,0.00554037484872049,0.16392803339776,0.0110658730076578,2318.92596044472,10625,7.53367767087775,314371.392263006,314371.392263006,34.69650647,58.3490079764441,0.0105487497920508,29.5878957424006,523.32696893389,-9.23877227495063,51477182.45222139,14146,38917,1483641.65981363,43897834.7496479,276.64391355406,8185.31127200722,0.898446115,26.5831299807849,10766151.18378337,318547758.772705,0.0767976628169502,0.0887137800096025,0.0873065874902941
2017-06-10,50407,435,8171477,18785.0045977012,2.09852206748162,1541093568.62747,734370913.9436856473354598978,252310.991461773,0.00541214137711723,0.161991278783778,0.0155940967475803,2419.66373119329,10875,7.70931201606004,325500.579903907,325500.579903907,34.96065808,58.0139511123535,0.0102632794549428,29.9310878072558,514.829842173982,-2.05178336371735,51488057.45222139,14937,48899,1472742.79953965,44080794.050525,207.725326289279,6217.44498095528,0.2,5.98621756145116,10157560.73021947,304026842.123732,0.0767920725243747,0.0864520756763804,0.0842717006448159
2017-06-11,48270,594,9551651,16080.2205387205,2.33073022357747,1740935318.22098,746948445.8603686711616591705,204624.189848404,0.00400977263758903,0.135540984929653,0.0175773836907117,2302.70579296987,14850,10.5241631358934,501969.515013595,501969.515013595,24.13132557,63.6989826686994,0.0113652395517525,33.8026609436764,573.69831620098,22.8597098596933,51502907.45222139,16989,48171,2134275.93571589,72144205.8152519,278.944815792569,9429.07703023249,1.03731145,35.0638872373433,13437050.72154386,454208069.623329,0.0772184755449654,0.089018920891699,0.0848039968838992
2017-06-12,44803,685,8293771,12107.6948905109,2.00045545020166,1497291011.53011,748475059.206726968833155323,197309.127076644,0.00485155302867159,0.140997324652858,0.0142938598755514,2252.29126400476,17125,12.1324166590863,497692.011281867,497692.011281867,25.11074486,53.5494403781042,0.010903408296012,29.0623072281382,449.408653633695,1.66931636389766,51520032.45222139,15974,45425,2051712.63334869,59627502.8942321,245.198658969596,7126.03875890188,1.00036499,29.0729146796534,11138149.08369389,323700310.623118,0.0781766956799266,0.0936688622348806,0.0875357804942295
2017-06-13,44950,709,8425759,11884.0042313117,2.06817975535889,1550650794.92154,749765967.3457437746820789125,197309.127076644,0.0045022121434015,0.13546105193931,0.0115536634631782,2132.96972383638,17725,12.5531752249751,533303.866887587,533303.866887587,36.66203418,54.6408496131205,0.0111141978076323,30.0876652686932,468.778731426966,4.96992758807581,51537757.45222139,15746,45523,1405752.80689221,42295819.9042987,197.139108204977,5931.45549904003,1,30.0876652686932,8974363.62281516,270017648.682799,0.078191471863128,0.0910326973213148,0.0875502711906551
