date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-07-24,14910,9388,9484872,1010.31870472944,76778102.7449402,1425783515388.11,0.000779419088234521,0.000727177582727401,0.000448417010438751,18.3655970293651,54662.5,24.2445664983269,50998.6799346596,50998.6799346596,6.97026832,,0.00141128352347494,0.932973792538936,,,82293954.40573,25256,27755,11806425.615154,11015085.6824991,630.707219597158,588.433306649248,2.62253923,2.44676037149524,17505278.879919107200218055,16331966.4260499,,,
2016-07-25,12384,5648,6990037,1237.61278328612,50267563.797057,3263196676829.09,0.000907293269057464,0.000553990915532129,0.000294318253667894,14.0890969638163,31262.5,13.8606528216821,19088.8013693908,19088.8013693908,14.2449567,,0.00092963016500553,0.610597404858563,,,82325216.90573,25432,29663,5779253.572891,3528797.23362682,327.487226710246,199.962850753604,2.27150131,1.38697280501883,9714253.605906034072577542,5931498.04190416,,,
2016-07-26,16696,7750,9372983,1209.41716129032,210328563.843161,4324493258208.06,0.000832653235081272,0.0021261181968034,0.00124392983934515,65.9521864648686,45913.4375,20.3449978380409,117236.552785407,117236.552785407,11.31250833,,0.00389629850574882,2.5534257326171,,,82371130.34323,31020,36522,7281420.52199121,18592566.5308586,309.512602856803,790.317444703857,1.99958,5.1057790264265,11304019.281536152823899402,28863973.7154743,,,
2016-07-27,19134,5721,8353485,1460.14420555847,133020695.972121,8546119161600.04,0.000788017739953494,0.00127205518929992,0.00076736666004668,43.303302754166,33052.34375,14.6401615492949,53354.6432446987,53354.6432446987,9.87946674,,0.00245933087086529,1.61424689420697,,,82404182.68698,34042,39798,8340954.51306066,13464359.9174298,393.303582312228,634.88908622799,2.0550682,3.31738745923351,15652695.968862054685482647,25267315.8537015,,,
2016-07-28,11646,5957,6867164,1152.78898774551,142401985.866986,6348055800443.01,0.000926231649004286,0.00159996318602458,0.000878688689100516,37.514336822728,33480.46875,14.8237718367452,57833.8232216881,57833.8232216881,7.0597783,,0.0026312462574524,1.72738988971557,,,82437663.15573,23447,28667,11677089.5090146,20170886.3591756,556.936112952611,962.04581073183,1.56863886,2.70965090737896,15965687.550012512246480344,27578967.2562494,,,
2016-07-29,5873,6242,6441243,1031.9197372637,136043536.01744,6958494684835.98,0.00107014711614512,0.00176526717989827,0.00103922003485089,32.4138359572985,35176.875,15.5682275161324,58026.2115292785,58026.2115292785,13.52701648,,0.00251081878070098,1.64955561087443,,,82472840.03073,18362,22510,6096898.02313992,10057172.3429997,490.882492824305,809.737970318359,2.10939816343379,3.47956957606043,11049764.913475096135576206,18227201.7118663,,,
2016-07-30,4521,5853,5582048,953.707158722023,129010464.51009,7515459638362.38,0.000736624547909085,0.00115182902384265,0.000689573271697837,17.3834036278312,32699.53125,14.4660939975841,51130.8905828756,51130.8905828756,20.45211858,,0.00238538144986818,1.56365821246675,,,82505539.56198,15092,20453,4034082.7890997,6307926.68294652,345.43384460563,540.140467981557,1.8993,2.9698560429381,7065158.423718950994166804,11047492.9916268,,,
2016-07-31,4767,6307,6121151,970.532899952434,149120103.360784,7077624582790.13,0.00076295003878906,0.0013783589845517,0.000796718371168941,22.7773822197144,35503.75,15.6999090755607,64141.7003863703,64141.7003863703,22.17353194,,0.002883631379241,1.80661762169828,,,82541043.31198,16525,22414,3722503.18653693,6725139.85362562,314.892733238895,568.890760814123,2.00392378,3.62032401348823,7058005.722816592811784573,12751117.5128878,,,
2016-08-01,5452,6374,6669785,1046.40492626294,188614381.742375,8791084043093.24,0.000705976999707456,0.00161251653703353,0.0010243239744322,33.1098020549059,36351.875,16.0678771048134,83031.033042105,83031.033042105,13.44066533,,0.00379018935838445,2.28409216971903,,,82577395.18698,20533,27668,6143847.2849343,14033113.475468,354.719221689703,810.21139671028,1.65149344,3.77216323464635,9814371.425710711994124135,22416928.92418,,,
2016-08-02,8743,6551,7480442,1141.87788123951,222080169.242474,12112839968575.9,0.000720527759033371,0.00193687560807852,0.00118546736396185,50.4769152221429,37578.125,16.6023362050896,101015.058472514,101015.058472514,11.1381245,,0.00510100716250494,2.68813461215838,,,82614973.31198,26061,34311,7417314.58247733,19938740.0584244,336.503986727269,904.568013850855,1.59498286,4.28752863176536,11545788.28859931717500389,31036633.1232367,,,
