date,AdrActCnt,CapMrktCurUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-11-27,666,172074135.78718,5334683.14431301,15.18018227,,0.000264696370459905,0.999640640976733,,-0.0607327181336736,172135994.41,1012,1012,11339520.919047,11335445.9598852,17948.3826346314,17941.9327213786,565.35,565.146836376196,18163763.226247,18157235.9140352,,0.00171204435260572,0.00191393477747441
2018-11-28,703,177268561.283121,5167477.09763536,7.29207712,,0.000237567875744667,0.999798529813759,,-0.0978241856025837,177304282.81,1116,1114,24314647.233482,24309748.5569755,28815.014956342,28809.2095899122,540,539.89120609943,32099926.661365,32093459.4831622,,0.00170274562869558,0.00191392744216159
2018-11-29,651,177566362.308245,63239.4787434449,5.12214323,,0.000236167192908487,1.00112205658262,,0.13241459474271,177367346.11,1027,1025,34627564.728057,34666418.8150002,38531.4474039541,38574.6818681516,750.961602,751.804223408819,39494733.589053,39539048.9148554,,0.00171580676539593,0.00188393752161625
2018-11-30,611,177237769.195443,41164.5599800196,20.11378486,,0.000251745261560352,1.00026802026508,,-0.0227571643432834,177190278.61,823,828,8809395.138759,8811756.23517928,11978.0742255918,11981.2845922209,249.958768,250.025762015258,9917845.45879,9920503.64235889,,0.00172144001780319,0.00180332315949816
2018-12-01,437,177113809.349789,9.99568377811161,33.95304261,,0.000240971700103234,0.999568377811161,,-0.0482118912420447,177190288.61,630,737,5218686.602587,5216434.10165273,11530.5127759905,11525.5359508277,99.986759,99.9436024962255,8497987.915905,8494319.99576001,,0.00172637727890766,0.00180008504076487
2018-12-02,327,177230240.905424,0,27.91330613,,0.000244032025982323,1.00022547677831,,0.0272244567176199,177190288.61,400,399,6347878.956529,6349310.25582522,17467.8305909549,17471.7691811206,198,198.044644402105,6969664.405791,6971235.90326712,,0.00172680604715291,0.00179441077939098
2018-12-03,496,176965192.576077,104411.205321643,30.86087576,,0.000260056114679936,0.999649636676344,,-0.0928710983311478,177027216.42,685,684,5736299.183012,5734289.39416476,10329.5210012237,10325.9019159139,397.358256,397.219036240746,7065392.364837,7062916.91048512,,0.00170822178805462,0.00179568473263431
2018-12-04,498,177198192.794974,201125.023153975,8.61451862,,0.000256970991496501,1.00037564457497,,0.12515606713993,177131654.25,703,703,20561990.983794,20569714.9841576,35211.1888540583,35224.4157461296,480.797007,480.977615787341,24753465.764403,24762764.2695291,,0.0016779737515901,0.00179284750413746
2018-12-05,576,178687120.118311,1575038.26284648,24.32928142,,0.000269557608270247,0.99992957038386,,-0.103654940238323,178699705.87,836,835,7345046.602973,7344529.29416022,13471.1940025784,13470.2452315559,499.977514,499.94230077561,11248446.992153,11247654.7683492,,0.00166317429624512,0.00179231197944478
2018-12-06,687,181746352.90289,3079017.66214426,17.74002493,,0.000284788981937119,1.00017007086168,,0.0465943652489852,181715448.4,969,967,10243246.508622,10244988.5863821,16312.8988242865,16315.673173046,499.979084,500.064115873638,15774573.163085,15777255.9583355,,0.00166328485440423,0.0017099539553382
2018-12-07,972,185997181.750582,4179203.69866796,10.93288494,,0.000297046630464724,1.00193700505216,,0.20157852856878,185637600.78,1695,1688,16979745.222074,17012635.0743535,15745.7837619289,15776.283424626,670.9633675,672.263026932662,26578882.990136,26630366.4207687,,0.00169061320390311,0.00168709970938925
