date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-01-15,3525,3520,30382244,8631.31931818182,746081440.824779,,0.000580522579872104,0,16.7056982809795,0,0,0,0,6.20181577,13.8884762869426,0.00208327393932359,7.46081440824779,-96.0814137450099,32.357903295674,100000000,28777,5919,16124310,120300484.371054,3005.31981753675,22422.1333960708,37,276.050133105168,17788488,132716607.571343,0.0638009786806189,0.0735151470081706,0.0771706527788792
2019-01-16,3437,4412,12258611,2778.47030825023,759668118.490782,,0.000511298654466223,0,18.1659298945306,0,0,0,0,91.80569875,14.2045206672419,0.00210610187354564,7.59668118490782,-94.713684238584,17.2909729200932,100000000,35529,5748,1089257,8274738.15742914,457.188065414057,3473.11197449537,34,258.287160286866,2627917,19963447.6293994,0.0637622485422477,0.0732318934689125,0.0772149363872034
2019-01-17,3096,4774,9121303,1910.62065354001,772171746.867147,,0.000365822332303484,0,8.48012748512745,0,0,0,0,92.53364523,14.5536844268003,0.00212127569972906,7.72171746867147,-94.6378280246881,14.410192254934,100000000,23181,5645,1080688,8344767.40778363,417.247298494243,3221.86575353897,30,231.651524060144,2355361,18187432.1787275,0.0637669788389262,0.0730693658093382,0.0723199215953869
2019-01-18,3127,5294,9714127,1834.9314318096,754119024.775287,,0.000557677451616389,0,13.2939150916313,0,0,0,0,57.88172564,14.2080587200303,0.00208930414691309,7.54119024775287,-94.7199988331229,14.3931531234716,100000000,23838,5922,1727661,13028620.284623,809.622424856467,6105.51673468962,30,226.235707432586,4794584,36156870.1028319,0.0637562874423354,0.0716409992879315,0.0698935207386419
2019-01-19,3337,4865,9479100,1948.42754367934,795448190.042798,,0.000757708895077575,0,17.3992693576653,0,0,0,0,61.7392566,15.014080614794,0.00215726349083219,7.95448190042798,-94.2895382096409,10.8966767920709,100000000,22963,6230,1619715,12883993.6513517,510.208507223114,4058.44433615064,31,246.588938913267,3178599,25284108.2142185,0.0637572648465662,0.0713998386603619,0.0699294610700325
2019-01-20,3206,4530,8663624,1912.49977924945,746317166.782412,,0.000587180121733196,0,12.5621315243596,0,0,0,0,8.66089862,13.898505505874,0.00210924532196702,7.46317166782412,-95.0048791881797,9.93786436453783,100000000,21394,6151,11546146,86170869.6997608,2175.70086164851,16237.6290283157,30,223.895150034724,13382736,99877656.1531699,0.0638811498437228,0.0723306834045888,0.0695683005135009
2019-01-21,3332,4531,8204560,1810.7614213198,743679854.059346,,0.00042553519058772,0,9.14347464015865,0,0,0,0,61.57404186,13.9345596410879,0.00210339103288618,7.43679854059346,-94.3427358753287,6.05499804848464,100000000,21487,5508,1624061,12077814.4746348,600.808278867102,4468.09013145534,31,230.540754758397,3309252,24610240.444056,0.0638529892884002,0.070846853995043,0.0695357304687286
2019-01-22,3050,4680,8183943,1748.70576923077,760069740.420534,,0.000927066143409534,0,17.039475715867,0,0,0,0,59.31433811,14.2625963811797,0.00212469730339012,7.60069740420534,-93.8285426586727,0.260079266200035,100000000,18380,5463,1685933,12814266.5767641,733.468240893282,5574.87015462463,32,243.222316934571,4006937,30455515.6547143,0.0638771431929852,0.0680133938386181,0.0670345796941515
2019-01-23,3137,5140,9439154,1836.41128404669,745187989.7453,,0.000728863952859782,0,14.6880663780296,0,0,0,0,55.58093752,13.9760645099397,0.00209800187524332,7.451879897453,-93.9574704216244,-11.5487678873879,100000000,20152,5540,1799178,13407258.3701397,702.59963898917,5235.68812574113,31,231.008276821043,3892402,29005712.2166059,0.0638739997554798,0.065031243761596,0.066985864513125
2019-01-24,2940,4847,8406973,1734.46936249226,762905173.681271,,0.000658036734473628,0,12.6165383100626,0,0,0,0,8.88197358,14.193288306783,0.00213843351312797,7.62905173681271,-94.3724364999985,0.972488606103857,100000000,19173,5014,11258759,85893654.9033057,2488.51655364978,18985.021535709,26.5,202.169871025537,12477422,95190897.9800451,0.0639182274153828,0.0649751257272013,0.0663044987361443
2019-01-25,2989,5049,8343431,1652.4917805506,750949198.989464,,0.000646491413358482,0,11.953626232998,0,0,0,0,32.90033206,14.0126651848161,0.00210860795482163,7.50949198989464,-94.5390009202491,-3.29863907018853,100000000,18490,4999,3039483,22824973.2419209,1189.46029205841,8932.24253551038,25,187.737299747366,5946112,44652280.4350164,0.0638601956206832,0.060053664989433,0.0662893060334407
2019-01-26,2980,5057,8365328,1654.20763298398,742169231.018145,,0.000681078676068118,0,12.6374148344437,0,0,0,0,68.50450554,13.8883676886132,0.00208647990660824,7.42169231018145,-94.5707295268012,8.94794809193677,100000000,18555,5212,1459758,10833874.7233259,502.764389869532,3731.36260612777,25,185.542307754536,2620408,19447861.903138,0.0636609031081272,0.0542122889582061,0.0635405461146464
2019-01-27,3291,4803,8731506,1817.9275452842,731095283.008287,,0.000736675988817365,0,14.5817645226501,0,0,0,0,67.52568339,13.7100717459667,0.00206663377070762,7.31095283008287,-94.7637508196019,-6.51724244863534,100000000,19794,5728,1480918,10826921.6432207,553.189594972067,4044.34303493343,25,182.773820752072,3168670,23165996.9040987,0.0636611346084049,0.0541430047704143,0.0635438510080718
2019-01-28,3242,4951,7702485,1555.74328418501,692009586.531754,,0.000651636796669375,0,11.6897124954516,0,0,0,0,4.61843698,12.6270787968802,0.00201455315080618,6.92009586531754,-95.3866286611974,-12.9981072286467,100000000,17939,5909,21652347,149836316.949121,3927.25943476053,27177.0117765157,31,214.522971824844,23206176,160588962.587431,0.0636831644360166,0.0549873909529297,0.062846041040989
2019-01-29,2164,4399,6547349,1488.37213002955,695031468.027273,,0.00053448787026915,0,7.4796232565469,0,0,0,0,124.6786408,12.7383735493065,0.00204672420147213,6.95031468027273,-95.8063326836175,-12.738362610996,100000000,13994,3243,802062,5574583.29308891,457.519580635214,3179.90505780115,27,187.658496367364,1483736,10312432.1024491,0.0636890366525954,0.05319573028035,0.0623762989327534
2019-01-30,2731,4354,8235077,1891.38194763436,702038819.668979,,0.00055561091943661,0,11.8306233075633,0,0,0,0,2.70625221,12.493457574889,0.00204205958237211,7.02038819668979,-95.0392215893018,-4.75426496821198,100000000,21293,4632,36951471,259413670.858725,8187.2396373057,57477.6005132117,30,210.611645900694,37923294,266236245.577197,0.0636503917531397,0.0522428530920058,0.0623313959051376
2019-01-31,3513,4332,8282072,1911.83564173592,681940540.503317,,0.00157093502202816,0,31.6967559394631,0,0,0,0,5.95567359,12.0226642602087,0.0019997484475406,6.81940540503317,-95.2040725797461,-12.152418234926,100000000,20177,6179,16790712,114502672.167155,2924.35863408318,19942.3870755223,58,395.525513491924,18069612,123224009.739652,0.0636119100411954,0.0521037090785606,0.0616277811491315
2019-02-01,2676,4474,8171332,1826.40411265087,694308774.910527,,0.000659356553874669,0,12.1763374804035,0,0,0,0,4.25608651,11.9336324457674,0.00201538089960785,6.94308774910527,-94.4066473746884,-12.9742724883792,100000000,18467,4676,23495763,163133144.241181,5622.88088109495,39040.1553602086,30,208.292632473158,26292591,182551766.464335,0.0635572517739689,0.0514053516584883,0.0615600462213996
2019-02-02,2639,4608,7384413,1602.52018229167,713140242.119257,,0.000504892573221537,0,8.39434392238146,0,0,0,0,69.83820583,12.2986815165814,0.00205994687341038,7.13140242119257,-94.0619085852967,-5.62536788685774,100000000,16626,4592,1431881,10211319.6302596,483.611933797909,3448.83131560403,31,221.07347505697,2220746,15837033.4012537,0.0635678679595821,0.0516988923921104,0.0607521497504811
