date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-12-05,58716,551,9610312,17441.5825771325,0.285323663135324,651916502.88287,2284831533.841896721429630385,75679801.9792188,0.000302347960228985,0.0232187791744438,0.000277997511700853,231.189384239936,1843.42461370999,7.92608288329483,141565.595474996,141565.595474996,158.54820113,81.3030780178834,0.0207021056543827,76.7948927350424,-89.6246419004759,-53.0696282077387,8489060.66100139,9957,53296,53542.45964776,4111787.44542006,2.07136581554094,159.0703156195,0.01499,1.15115544209829,110395.51250507,8477811.54125688,0.0534268368102935,0.0608998340797572,0.049525248427905
2018-12-06,54193,547,9309143,17018.5429616088,0.243195674110897,554173317.696018,2278713713.6465489332595315,78388903.6634133,0.000393091689554723,0.0256558542151385,0.000243445330352486,246.604070715911,1830.04222086999,7.86685198652546,119441.081238255,119441.081238256,73.06512323,69.8588411765061,0.0185841176105657,65.2668445985218,-90.5587156213633,-61.6896498534512,8490885.70322226,9612,50360,116209.83211174,7584649.05325724,3.97700549877224,259.566599855834,0.01307614,0.853438397328515,200281.99691817,13071773.9687398,0.0541658537445169,0.0658682562478247,0.0530319999029457
2018-12-07,51082,542,8915650,16449.5387453875,0.249166655153905,565834581.229863,2270908123.241289034280942537,61097405.5322953,0.000429235552026901,0.0285982487229339,0.000252512547360305,306.17285082773,1813.31422981999,7.79327858580891,120813.877397503,120813.877397503,76.78714817,72.0814504243563,0.0197527681664845,66.6260019420329,-90.2467681666387,-59.8326661244525,8492699.01745208,10706,45157,110600.52651599,7368870.89444421,4.50580829702527,300.203992348033,0.0173124,1.15345599602125,203468.78526877,13556311.6824601,0.054201724527209,0.0664943183504123,0.0532582458693704
2018-12-08,44178,546,7538040,13805.9340659341,0.253046081263697,574214377.641571,2269208733.737266857121129909,47893531.2207676,0.000313958103846962,0.0212230176827271,0.00025281744653449,201.915790233466,1826.69662265999,7.84911453122812,123481.490837988,123481.490837989,115.98926144,73.3670553144698,0.0198354506493958,67.5982477364947,-90.6137087852449,-58.7775422415358,8494515.71407474,9514,40286,73235.36341485,4950582.23918925,4.27213019138832,288.788515040026,0.02153997,1.45606422829666,172107.03689027,11634134.1169025,0.0541625096849959,0.0670177938933287,0.0534126485008747
2018-12-09,43603,550,7254734,13190.4254545455,0.280708617703176,636161631.56868,2266270400.86586765214646509,49868607.2878658,0.000360135321807168,0.0269650047015076,0.000280031175719102,213.670697254746,1840.07901549999,7.90490484407099,137775.264739709,137775.264739709,119.88052924,82.2630168114904,0.0211484038372537,74.8746459141984,-89.7180738898248,-52.6490768613682,8496355.79309024,7924,36933,70873.52588966,5306630.15567907,3.17768170004251,237.927792118711,0.010100325,0.756258257993326,117361.31822767,8787387.14632035,0.0546588222819855,0.0709375176443115,0.0536325443828063
2018-12-10,56397,553,8689983,15714.2549728752,0.250847989499004,567931384.377303,2264045988.614784344006924579,54915649.3957498,0.000170920743425903,0.01142257869625,0.000334148403151601,185.913890860165,1850.11581012999,7.94630619547739,123642.648720094,123642.648720094,142.79983525,74.3527641285941,0.0195775210376313,66.8296806303203,-90.2509322740953,-58.3333093509464,8498190.90890037,16276,48270,59511.20947818,3977115.12335086,2.53755345113507,169.583886721724,0.0100001,0.668303489271266,122487.70508629,8185814.21205762,0.0547603734912172,0.0727198149283965,0.0551970774197271
2018-12-11,45938,551,7609268,13809.9237749546,0.234795407742446,530263039.588436,2258404645.503532631845282115,52710885.1679661,0.000489154257261411,0.0305152386075151,0.000233314932248694,257.39603765439,1843.42461370999,7.91585484712647,114999.595950086,114999.595950087,122.76540869,70.0231625308992,0.0186077485767423,62.3836717242498,-91.8131465554468,-60.5265192686165,8500029.33351408,8435,39831,69237.98343737,4319319.62960593,3.52032671100073,219.610905901177,0.01489718,0.92934078673706,140218.13322587,8747321.9929498,0.0548467177894964,0.0724108537580394,0.0554933956048194
2018-12-12,47982,550,8223606,14952.0109090909,0.239813314672072,540892479.505668,2255473096.834931345437904816,55153002.5683782,0.000334718951784197,0.0212949969481099,0.00023794078035139,200.513691263403,1840.07901549999,7.89979230493156,117066.801298472,117066.801298473,149.68919884,72.27372412276,0.0185861201905841,63.6205295057193,-93.1343394259393,-60.5593220581331,8501854.41252958,9416,44682,56796.71264598,3613436.93272143,2.9985668734891,190.770412249686,0.018670745,1.18784268316626,133981.96504124,8524003.56014046,0.0547265175318568,0.0730133850174628,0.0556767974542796
2018-12-13,38974,542,6230293,11495.0055350554,0.225268559360568,506716656.292612,2249389163.454246219875867468,55674017.2877522,0.00041023179717747,0.0244449117104028,0.000274700897785858,195.730408065195,1813.31422981999,7.78323076950771,108051.853991198,108051.853991199,118.8650794,67.9656603240846,0.0182706669374252,59.5880472420516,-93.3025651039152,-62.4216974257615,8503662.7267594,8007,35130,71540.4622594,4262956.44483134,4.20312584218617,250.456061248477,0.0241048,1.43635796116021,147655.810836,8798521.431659,0.0548948351077195,0.0710044581468429,0.0556639429290053
2018-12-14,53887,547,8676051,15861.1535648995,0.22029462159782,494650131.931368,2245402671.856528538381647216,53725556.5885592,0.000361996993359286,0.021052534071275,0.000217505887813885,183.872832578516,1830.04222086999,7.85335555227287,106429.133151663,106429.133151664,107.42804411,66.7767896345039,0.018178085857819,58.1566544956912,-93.8753294547196,-58.3570370683197,8505477.76898027,8734,47544,79173.7189239,4604478.61659622,3.04261737143341,176.948447233041,0.04364602,2.53830650525203,144658.20030743,8412836.9752477,0.0549046080989798,0.0710098546495785,0.055639646507165
