,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,1.12656235,1482278400,1.14523846,1.12650688,1.12650688,508.47112118,572.81563473,1.12654506
1,1.14790127,1482280200,1.14790127,1.13500023,1.14529022,4.07397381,4.62471569,1.13518542
2,1.14790126,1482282000,1.1531508,1.14790126,1.15308832,101.42684639,116.43266004,1.14794715
3,1.14790128,1482283800,1.15311517,1.14790128,1.15311517,193.0470563,221.95033072,1.14972139
4,1.13051446,1482285600,1.14790128,1.13050948,1.14790128,195.69214994,224.56550864,1.14754479
5,1.1305756,1482287400,1.1305756,1.13054099,1.130541,2.0313896,2.29660383,1.13055803
6,1.1378034399999999,1482289200,1.15193531,1.13780342,1.14790127,291.74630435,332.35459544,1.13919042
7,1.11563,1482291000,1.13700001,1.11563,1.13650022,2882.28657861,3256.19505402,1.12972633
8,1.1209,1482292800,1.12099485,1.09,1.115,8281.71609636,9049.39121191,1.09269517
9,1.12827488,1482294600,1.12827488,1.12039491,1.1209,21.34842244,23.92853828,1.12085744
10,1.12053391,1482296400,1.1316243400000001,1.12051245,1.13162432,67.55136791,75.70430558,1.12069241
11,1.1231,1482298200,1.13129485,1.11,1.13123877,34.95128243,39.19788604,1.12150065
12,1.11023908,1482300000,1.11023908,1.11021467,1.11021467,27.28007925,30.28685569,1.11021875
13,1.15653846,1482301800,1.15653846,1.1102468,1.11024682,1712.86032768,1969.91727493,1.15007466
14,1.16699808,1482303600,1.16699808,1.1507594700000001,1.15656062,186.2020519,216.40348545,1.1621971
15,1.15737044,1482305400,1.16698642,1.15737044,1.16698642,35.99143672,41.80632295,1.1615630399999999
16,1.15279796,1482307200,1.1659842,1.15279364,1.15737044,31.88134355,36.79573501,1.1541463
17,1.16699809,1482309000,1.16890462,1.15279839,1.15280053,934.59962565,1087.8794691,1.16400589
18,1.16006826,1482310800,1.16879899,1.16005283,1.16699809,143.11580814,166.04344742,1.1602033999999999
19,1.16879899,1482312600,1.16879899,1.16799999,1.16799999,0.13966186,0.16314967,1.16817627
20,1.16624123,1482314400,1.17210174,1.16012008,1.16879899,4248.20630028,4928.49867811,1.16013637
